raw_pdf_path,page,page_total,image_path,width,height,bytes,project,source_path,file_name,target_reason
data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf,1,4,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page001.png,1588,2246,922186,白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md,会議録_2025-07-15.pdf.md,index18: M04進捗サマリ候補
data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf,2,4,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page002.png,1588,2246,1136633,白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md,会議録_2025-07-15.pdf.md,index18: M04進捗サマリ候補
data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf,3,4,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page003.png,1588,2246,886509,白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md,会議録_2025-07-15.pdf.md,index18: M04進捗サマリ候補
data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf,4,4,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page004.png,1588,2246,1053091,白峰信用リスク評価株式会社,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-07-15.pdf.md,会議録_2025-07-15.pdf.md,index18: M04進捗サマリ候補
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,1,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page001.png,882,1141,337685,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,2,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page002.png,882,1141,398216,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,3,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page003.png,882,1141,304230,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,4,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page004.png,882,1141,221238,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,5,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page005.png,882,1141,338344,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補
data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,6,6,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page006.png,882,1141,360144,医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf.md,会議録_2025-05-15.pdf.md,index93: A10候補
